Good Omens,1990,Neil Gaiman (1960-) and Terry Pratchett (1948-2015)
Thief of Time,1996,Terry Pratchett (1948-2015)
Emma,1815,Jane Austen (1775-1817)
Sense and Sensibility,1813,Jane Austen (1775-1817)
Pride and Prejudice,1813,Jane Austen (1775-1817)
Sula,1973,Toni Morrison (1931-)
And Then There Were None,1939,Agatha Christie (1890-1976)
"There, There",2018,Tommy Orange (1982-)
"The Life and Opinions of Tristram Shandy, Gentleman",1759,Laurence Sterne (1713-1768)
Love in the Time of Cholera,1985,Gabriel García Márquez (1927-2014)
