['1', 'KEN', 'Kenya']
['2', 'CHN', 'China']
['3', 'DEN', 'Denmark']
['4', 'DEN', 'Denmark/Sweden']
['5', 'NED', 'Netherlands']
['6', 'NED', 'Netherlands']
['7', 'NED', 'Netherlands']
['8', 'NED', 'Netherlands']
['9', 'NED', 'Netherlands']
['10', 'NED', 'Netherlands']
['11', 'USA', 'United States']
['12', 'USA', 'United States']
['13', 'USA', 'United States']
['14', 'USA', 'United States']
['15', 'USA', 'United States']
['16', 'USA', 'United States']
['17', 'USA', 'United States']
['18', 'USA', 'United States']
['19', 'USA', 'United States']
['20', 'USA', 'United States']
['21', 'USA', 'United States']
['22', 'USA', 'United States']
['23', 'USA', 'United States']
['24', 'USA', 'United States']
['25', 'USA', 'United States']
['26', 'USA', 'United States']
['27', 'NED', 'Netherlands']
['28', 'NED', 'Netherlands']
['29', 'FIN', 'Finland']
['30', 'FIN', 'Finland']
['31', 'FIN', 'Finland']
['32', 'FIN', 'Finland']
['33', 'FIN', 'Finland']
['34', 'FIN', 'Finland']
['35', 'FIN', 'Finland']
['36', 'FIN', 'Finland']
['37', 'FIN', 'Finland']
['38', 'FIN', 'Finland']
['39', 'FIN', 'Finland']
['40', 'FIN', 'Finland']
['41', 'FIN', 'Finland']
['42', 'FIN', 'Finland']
['43', 'FIN', 'Finland']
['44', 'FIN', 'Finland']
['45', 'FIN', 'Finland']
['46', 'FIN', 'Finland']
['47', 'FIN', 'Finland']
['48', 'FIN', 'Finland']
['49', 'FIN', 'Finland']
['50', 'FIN', 'Finland']
['51', 'FIN', 'Finland']
['52', 'FIN', 'Finland']
['53', 'FIN', 'Finland']
['54', 'FIN', 'Finland']
['55', 'FIN', 'Finland']
['56', 'FIN', 'Finland']
['57', 'FIN', 'Finland']
['58', 'FIN', 'Finland']
['59', 'FIN', 'Finland']
['60', 'NOR', 'Norway']
['61', 'NOR', 'Norway']
['62', 'NOR', 'Norway']
['63', 'NOR', 'Norway']
['64', 'NOR', 'Norway']
['65', 'NOR', 'Norway']
['66', 'NOR', 'Norway']
['67', 'NOR', 'Norway']
['68', 'NOR', 'Norway']
['69', 'NOR', 'Norway']
['70', 'NOR', 'Norway']
['71', 'NOR', 'Norway']
['72', 'NOR', 'Norway']
['73', 'NOR', 'Norway']
['74', 'NOR', 'Norway']
['75', 'NOR', 'Norway']
['76', 'NOR', 'Norway']
['77', 'NOR', 'Norway']
['78', 'NOR', 'Norway']
['79', 'NOR', 'Norway']
['80', 'NOR', 'Norway']
['81', 'ROU', 'Romania']
['82', 'NOR', 'Norway']
['83', 'NOR', 'Norway']
['84', 'NOR', 'Norway']
['85', 'NOR', 'Norway']
['86', 'NOR', 'Norway']
['87', 'NOR', 'Norway']
['88', 'NOR', 'Norway']
['89', 'NED', 'Netherlands']
['90', 'NOR', 'Norway']
